"congress","chamber","num_results","offset","members__id","members__api_uri","members__name","members__party","members__state","members__district","members__total_votes","members__notes"
"114","House","9","0","L000567","https://api.propublica.org/congress/v1/members/L000567.json","Leonard Lance","R","NJ","7","1325",""
"","","","","C001062","https://api.propublica.org/congress/v1/members/C001062.json","K. Michael Conaway","R","TX","11","1325",""
"","","","","L000554","https://api.propublica.org/congress/v1/members/L000554.json","Frank A. LoBiondo","R","NJ","2","1325",""
"","","","","S000244","https://api.propublica.org/congress/v1/members/S000244.json","F. James Sensenbrenner","R","WI","5","1325",""
"","","","","U000031","https://api.propublica.org/congress/v1/members/U000031.json","Fred Upton","R","MI","6","1325",""
"","","","","W000809","https://api.propublica.org/congress/v1/members/W000809.json","Steve Womack","R","AR","3","1325",""
"","","","","A000367","https://api.propublica.org/congress/v1/members/A000367.json","Justin Amash","R","MI","3","1325",""
"","","","","M001197","https://api.propublica.org/congress/v1/members/M001197.json","Martha McSally","R","AZ","2","1325",""
"","","","","Y000066","https://api.propublica.org/congress/v1/members/Y000066.json","David Young","R","IA","3","1325",""
