"congress","chamber","num_results","offset","members__id","members__api_uri","members__name","members__party","members__state","members__district","members__total_votes","members__missed_votes","members__missed_votes_pct","members__rank","members__notes"
"","","","","D000621","https://api.propublica.org/congress/v1/members/D000621.json","Ron DeSantis","R","FL","6","1325","32","2.42","212","Running for Senate"
"","","","","C001084","https://api.propublica.org/congress/v1/members/C001084.json","David Cicilline","D","RI","1","1324","31","2.34","213",""
"","","","","K000375","https://api.propublica.org/congress/v1/members/K000375.json","Bill Keating","D","MA","9","1325","31","2.34","214",""
"","","","","F000450","https://api.propublica.org/congress/v1/members/F000450.json","Virginia Foxx","R","NC","5","1325","31","2.34","215",""
"","","","","S001189","https://api.propublica.org/congress/v1/members/S001189.json","Austin Scott","R","GA","8","1325","31","2.34","216",""
"","","","","L000578","https://api.propublica.org/congress/v1/members/L000578.json","Doug LaMalfa","R","CA","1","1325","31","2.34","217",""
"","","","","C001092","https://api.propublica.org/congress/v1/members/C001092.json","Chris Collins","R","NY","27","1325","31","2.34","218",""
"","","","","C001090","https://api.propublica.org/congress/v1/members/C001090.json","Matt Cartwright","D","PA","17","1325","31","2.34","219",""
"","","","","P000607","https://api.propublica.org/congress/v1/members/P000607.json","Mark Pocan","D","WI","2","1325","31","2.34","220",""
"","","","","M001185","https://api.propublica.org/congress/v1/members/M001185.json","Sean Patrick Maloney","D","NY","18","1320","30","2.27","221",""
"","","","","H001045","https://api.propublica.org/congress/v1/members/H001045.json","Gregg Harper","R","MS","3","1325","30","2.26","222",""
"","","","","L000571","https://api.propublica.org/congress/v1/members/L000571.json","Cynthia M. Lummis","R","WY","1","1325","30","2.26","223","Announced retirement on Nov. 12, 2015"
"","","","","D000600","https://api.propublica.org/congress/v1/members/D000600.json","Mario Diaz-Balart","R","FL","25","1325","30","2.26","224",""
"","","","","E000215","https://api.propublica.org/congress/v1/members/E000215.json","Anna G. Eshoo","D","CA","18","1325","30","2.26","225",""
"","","","","H001068","https://api.propublica.org/congress/v1/members/H001068.json","Jared Huffman","D","CA","2","1325","30","2.26","226",""
"","","","","H001038","https://api.propublica.org/congress/v1/members/H001038.json","Brian Higgins","D","NY","26","1320","29","2.20","227",""
"","","","","H001070","https://api.propublica.org/congress/v1/members/H001070.json","Cresent Hardy","R","NV","4","1325","29","2.19","228","Lost general election."
"","","","","G000548","https://api.propublica.org/congress/v1/members/G000548.json","Scott Garrett","R","NJ","5","1325","29","2.19","229","Lost general election."
"","","","","E000296","https://api.propublica.org/congress/v1/members/E000296.json","Dwight Evans","D","PA","2","47","1","2.13","230",""
"","","","","H001048","https://api.propublica.org/congress/v1/members/H001048.json","Duncan D. Hunter","R","CA","50","1325","28","2.11","231",""
"","","","","Q000023","https://api.propublica.org/congress/v1/members/Q000023.json","Mike Quigley","D","IL","5","1325","28","2.11","232",""
"","","","","G000560","https://api.propublica.org/congress/v1/members/G000560.json","Tom Graves","R","GA","14","1325","28","2.11","233",""
"","","","","N000188","https://api.propublica.org/congress/v1/members/N000188.json","Donald W. Norcross","D","NJ","1","1325","28","2.11","234",""
"","","","","B000490","https://api.propublica.org/congress/v1/members/B000490.json","Sanford D. Bishop Jr.","D","GA","2","1325","28","2.11","235",""
"","","","","H001057","https://api.propublica.org/congress/v1/members/H001057.json","Tim Huelskamp","R","KS","1","1325","28","2.11","236","Lost primary election on Aug. 2, 2016."
"","","","","M001157","https://api.propublica.org/congress/v1/members/M001157.json","Michael McCaul","R","TX","10","1325","28","2.11","237",""
"","","","","J000290","https://api.propublica.org/congress/v1/members/J000290.json","Lynn Jenkins","R","KS","2","1325","27","2.04","238",""
"","","","","H001059","https://api.propublica.org/congress/v1/members/H001059.json","Randy Hultgren","R","IL","14","1325","27","2.04","239",""
"","","","","M001166","https://api.propublica.org/congress/v1/members/M001166.json","Jerry McNerney","D","CA","9","1325","27","2.04","240",""
"","","","","B001283","https://api.propublica.org/congress/v1/members/B001283.json","Jim Bridenstine","R","OK","1","1325","27","2.04","241",""
"","","","","B001291","https://api.propublica.org/congress/v1/members/B001291.json","Brian Babin","R","TX","36","1325","27","2.04","242",""
"","","","","L000581","https://api.propublica.org/congress/v1/members/L000581.json","Brenda Lawrence","D","MI","14","1325","26","1.96","243",""
"","","","","C001045","https://api.propublica.org/congress/v1/members/C001045.json","Ander Crenshaw","R","FL","4","1325","26","1.96","244","Announced retirement on April 13, 2016"
"","","","","F000462","https://api.propublica.org/congress/v1/members/F000462.json","Lois Frankel","D","FL","22","1325","26","1.96","245",""
"","","","","L000562","https://api.propublica.org/congress/v1/members/L000562.json","Stephen F. Lynch","D","MA","8","1325","26","1.96","246",""
"","","","","B001281","https://api.propublica.org/congress/v1/members/B001281.json","Joyce Beatty","D","OH","3","1325","26","1.96","247",""
"","","","","S000583","https://api.propublica.org/congress/v1/members/S000583.json","Lamar Smith","R","TX","21","1325","26","1.96","248",""
"","","","","L000584","https://api.propublica.org/congress/v1/members/L000584.json","Mia Love","R","UT","4","1325","25","1.89","249",""
"","","","","R000604","https://api.propublica.org/congress/v1/members/R000604.json","Steve Russell","R","OK","5","1325","25","1.89","250",""
"","","","","O000168","https://api.propublica.org/congress/v1/members/O000168.json","Pete Olson","R","TX","22","1325","25","1.89","251",""
"","","","","F000461","https://api.propublica.org/congress/v1/members/F000461.json","Bill Flores","R","TX","17","1325","25","1.89","252",""
"","","","","C001093","https://api.propublica.org/congress/v1/members/C001093.json","Doug Collins","R","GA","9","1325","25","1.89","253",""
"","","","","D000619","https://api.propublica.org/congress/v1/members/D000619.json","Rodney Davis","R","IL","13","1325","25","1.89","254",""
"","","","","P000034","https://api.propublica.org/congress/v1/members/P000034.json","Frank Pallone","D","NJ","6","1325","25","1.89","255",""
"","","","","C001103","https://api.propublica.org/congress/v1/members/C001103.json","Buddy Carter","R","GA","1","1325","24","1.81","256",""
"","","","","R000486","https://api.propublica.org/congress/v1/members/R000486.json","Lucille Roybal-Allard","D","CA","40","1325","24","1.81","257",""
"","","","","S000250","https://api.propublica.org/congress/v1/members/S000250.json","Pete Sessions","R","TX","32","1325","24","1.81","258",""
"","","","","G000570","https://api.propublica.org/congress/v1/members/G000570.json","Frank Guinta","R","NH","1","1325","23","1.74","259","Lost general election."
"","","","","S001176","https://api.propublica.org/congress/v1/members/S001176.json","Steve Scalise","R","LA","1","1325","23","1.74","260",""
"","","","","H001034","https://api.propublica.org/congress/v1/members/H001034.json","Michael M. Honda","D","CA","17","1325","23","1.74","261","Lost general election."
"","","","","C001094","https://api.propublica.org/congress/v1/members/C001094.json","Paul Cook","R","CA","8","1325","23","1.74","262",""
"","","","","V000131","https://api.propublica.org/congress/v1/members/V000131.json","Marc Veasey","D","TX","33","1325","23","1.74","263",""
"","","","","V000081","https://api.propublica.org/congress/v1/members/V000081.json","Nydia M. Velázquez","D","NY","7","1320","22","1.67","264",""
"","","","","S001168","https://api.propublica.org/congress/v1/members/S001168.json","John Sarbanes","D","MD","3","1325","22","1.66","265",""
"","","","","W000795","https://api.propublica.org/congress/v1/members/W000795.json","Joe Wilson","R","SC","2","1325","22","1.66","266",""
"","","","","M001195","https://api.propublica.org/congress/v1/members/M001195.json","Alex Mooney","R","WV","2","1325","22","1.66","267",""
"","","","","L000569","https://api.propublica.org/congress/v1/members/L000569.json","Blaine Luetkemeyer","R","MO","3","1325","22","1.66","268",""
"","","","","A000055","https://api.propublica.org/congress/v1/members/A000055.json","Robert B. Aderholt","R","AL","4","1325","22","1.66","269",""
"","","","","C000754","https://api.propublica.org/congress/v1/members/C000754.json","Jim Cooper","D","TN","5","1325","21","1.58","270",""
"","","","","D000197","https://api.propublica.org/congress/v1/members/D000197.json","Diana DeGette","D","CO","1","1325","21","1.58","271",""
"","","","","L000263","https://api.propublica.org/congress/v1/members/L000263.json","Sander M. Levin","D","MI","9","1325","21","1.58","272",""
"","","","","M000312","https://api.propublica.org/congress/v1/members/M000312.json","Jim McGovern","D","MA","2","1325","21","1.58","273",""
"","","","","P000608","https://api.propublica.org/congress/v1/members/P000608.json","Scott Peters","D","CA","52","1325","21","1.58","274",""
"","","","","C001105","https://api.propublica.org/congress/v1/members/C001105.json","Barbara Comstock","R","VA","10","1325","20","1.51","275",""
"","","","","D000613","https://api.propublica.org/congress/v1/members/D000613.json","Robert Dold","R","IL","10","1325","20","1.51","276","Lost general election."
"","","","","K000387","https://api.propublica.org/congress/v1/members/K000387.json","Steve Knight","R","CA","25","1325","20","1.51","277",""
"","","","","M001193","https://api.propublica.org/congress/v1/members/M001193.json","Tom MacArthur","R","NJ","3","1325","20","1.51","278",""
"","","","","P000598","https://api.propublica.org/congress/v1/members/P000598.json","Jared Polis","D","CO","2","1325","20","1.51","279",""
"","","","","C001072","https://api.propublica.org/congress/v1/members/C001072.json","André Carson","D","IN","7","1325","20","1.51","280",""
"","","","","R000585","https://api.propublica.org/congress/v1/members/R000585.json","Tom Reed","R","NY","23","1325","20","1.51","281",""
"","","","","C001053","https://api.propublica.org/congress/v1/members/C001053.json","Tom Cole","R","OK","4","1325","20","1.51","282",""
"","","","","D000399","https://api.propublica.org/congress/v1/members/D000399.json","Lloyd Doggett","D","TX","35","1325","20","1.51","283",""
"","","","","S001150","https://api.propublica.org/congress/v1/members/S001150.json","Adam B. Schiff","D","CA","28","1325","20","1.51","284",""
"","","","","V000108","https://api.propublica.org/congress/v1/members/V000108.json","Peter J. Visclosky","D","IN","1","1325","19","1.43","285",""
"","","","","K000386","https://api.propublica.org/congress/v1/members/K000386.json","John Katko","R","NY","24","1325","19","1.43","286",""
"","","","","P000597","https://api.propublica.org/congress/v1/members/P000597.json","Chellie Pingree","D","ME","1","1325","19","1.43","287",""
"","","","","R000593","https://api.propublica.org/congress/v1/members/R000593.json","Dennis Ross","R","FL","15","1325","19","1.43","288",""
"","","","","F000449","https://api.propublica.org/congress/v1/members/F000449.json","Jeff Fortenberry","R","NE","1","1325","19","1.43","289",""
"","","","","J000289","https://api.propublica.org/congress/v1/members/J000289.json","Jim Jordan","R","OH","4","1325","19","1.43","290",""
"","","","","Y000065","https://api.propublica.org/congress/v1/members/Y000065.json","Ted Yoho","R","FL","3","1325","19","1.43","291",""
"","","","","L000559","https://api.propublica.org/congress/v1/members/L000559.json","Jim Langevin","D","RI","2","1325","19","1.43","292",""
"","","","","L000565","https://api.propublica.org/congress/v1/members/L000565.json","Dave Loebsack","D","IA","2","1325","19","1.43","293",""
"","","","","W000813","https://api.propublica.org/congress/v1/members/W000813.json","Jackie Walorski","R","IN","2","1325","19","1.43","294",""
"","","","","W000815","https://api.propublica.org/congress/v1/members/W000815.json","Brad Wenstrup","R","OH","2","1325","19","1.43","295",""
"","","","","M001165","https://api.propublica.org/congress/v1/members/M001165.json","Kevin McCarthy","R","CA","23","1325","19","1.43","296",""
"","","","","R000435","https://api.propublica.org/congress/v1/members/R000435.json","Ileana Ros-Lehtinen","R","FL","27","1325","19","1.43","297",""
"","","","","S000522","https://api.propublica.org/congress/v1/members/S000522.json","Christopher H. Smith","R","NJ","4","1325","19","1.43","298",""
"","","","","G000574","https://api.propublica.org/congress/v1/members/G000574.json","Ruben Gallego","D","AZ","7","1325","18","1.36","299",""
"","","","","H001071","https://api.propublica.org/congress/v1/members/H001071.json","Jody Hice","R","GA","10","1325","18","1.36","300",""
"","","","","J000297","https://api.propublica.org/congress/v1/members/J000297.json","Evan Jenkins","R","WV","3","1325","18","1.36","301",""
"","","","","T000474","https://api.propublica.org/congress/v1/members/T000474.json","Norma Torres","D","CA","35","1325","18","1.36","302",""
"","","","","F000456","https://api.propublica.org/congress/v1/members/F000456.json","John Fleming","R","LA","4","1325","18","1.36","303","Running for Senate"
"","","","","D000533","https://api.propublica.org/congress/v1/members/D000533.json","John J. Duncan Jr.","R","TN","2","1325","18","1.36","304",""
"","","","","W000810","https://api.propublica.org/congress/v1/members/W000810.json","Rob Woodall","R","GA","7","1325","18","1.36","305",""
"","","","","G000289","https://api.propublica.org/congress/v1/members/G000289.json","Robert W. Goodlatte","R","VA","6","1325","18","1.36","306",""
"","","","","Y000063","https://api.propublica.org/congress/v1/members/Y000063.json","Kevin Yoder","R","KS","3","1325","18","1.36","307",""
"","","","","M001187","https://api.propublica.org/congress/v1/members/M001187.json","Mark Meadows","R","NC","11","1325","18","1.36","308",""
"","","","","B001287","https://api.propublica.org/congress/v1/members/B001287.json","Ami Bera","D","CA","7","1325","18","1.36","309",""
"","","","","M001194","https://api.propublica.org/congress/v1/members/M001194.json","John Moolenaar","R","MI","4","1325","17","1.28","310",""
"","","","","B001255","https://api.propublica.org/congress/v1/members/B001255.json","Charles Boustany Jr.","R","LA","3","1325","17","1.28","311","Running for Senate"
"","","","","C000059","https://api.propublica.org/congress/v1/members/C000059.json","Ken Calvert","R","CA","42","1325","17","1.28","312",""
"","","","","C001069","https://api.propublica.org/congress/v1/members/C001069.json","Joe Courtney","D","CT","2","1325","17","1.28","313",""
"","","","","K000210","https://api.propublica.org/congress/v1/members/K000210.json","Peter T. King","R","NY","2","1325","17","1.28","314",""
"","","","","M001143","https://api.propublica.org/congress/v1/members/M001143.json","Betty McCollum","D","MN","4","1325","17","1.28","315",""
"","","","","B001294","https://api.propublica.org/congress/v1/members/B001294.json","Rod Blum","R","IA","1","1325","17","1.28","316",""
"","","","","C001106","https://api.propublica.org/congress/v1/members/C001106.json","Ryan Costello","R","PA","6","1325","16","1.21","317",""
"","","","","E000294","https://api.propublica.org/congress/v1/members/E000294.json","Tom Emmer","R","MN","6","1325","16","1.21","318",""
"","","","","H001052","https://api.propublica.org/congress/v1/members/H001052.json","Andy Harris","R","MD","1","1325","16","1.21","319",""
"","","","","L000566","https://api.propublica.org/congress/v1/members/L000566.json","Robert E. Latta","R","OH","5","1325","16","1.21","320",""
"","","","","B001284","https://api.propublica.org/congress/v1/members/B001284.json","Susan Brooks","R","IN","5","1325","16","1.21","321",""
"","","","","M001189","https://api.propublica.org/congress/v1/members/M001189.json","Luke Messer","R","IN","6","1325","16","1.21","322",""
"","","","","P000258","https://api.propublica.org/congress/v1/members/P000258.json","Collin C. Peterson","D","MN","7","1325","16","1.21","323",""
"","","","","A000372","https://api.propublica.org/congress/v1/members/A000372.json","Rick Allen","R","GA","12","1325","16","1.21","324",""
"","","","","S001172","https://api.propublica.org/congress/v1/members/S001172.json","Adrian Smith","R","NE","3","1325","15","1.13","325",""
"","","","","W000804","https://api.propublica.org/congress/v1/members/W000804.json","Robert J. Wittman","R","VA","1","1325","15","1.13","326",""
"","","","","L000570","https://api.propublica.org/congress/v1/members/L000570.json","Ben Ray Luján","D","NM","3","1325","15","1.13","327",""
"","","","","W000822","https://api.propublica.org/congress/v1/members/W000822.json","Bonnie Watson Coleman","D","NJ","12","1325","15","1.13","328",""
"","","","","D000612","https://api.propublica.org/congress/v1/members/D000612.json","Jeffrey Denham","R","CA","10","1325","15","1.13","329",""
"","","","","H001036","https://api.propublica.org/congress/v1/members/H001036.json","Jeb Hensarling","R","TX","5","1325","15","1.13","330",""
"","","","","R000586","https://api.propublica.org/congress/v1/members/R000586.json","Jim Renacci","R","OH","16","1325","15","1.13","331",""
"","","","","K000363","https://api.propublica.org/congress/v1/members/K000363.json","John Kline","R","MN","2","1325","15","1.13","332","Announced retirement on Sept. 3, 2015"
"","","","","R000395","https://api.propublica.org/congress/v1/members/R000395.json","Harold Rogers","R","KY","5","1325","15","1.13","333",""
"","","","","S000344","https://api.propublica.org/congress/v1/members/S000344.json","Brad Sherman","D","CA","30","1325","15","1.13","334",""
"","","","","D000623","https://api.propublica.org/congress/v1/members/D000623.json","Mark DeSaulnier","D","CA","11","1325","14","1.06","335",""
"","","","","W000799","https://api.propublica.org/congress/v1/members/W000799.json","Tim Walz","D","MN","1","1325","14","1.06","336",""
"","","","","F000460","https://api.propublica.org/congress/v1/members/F000460.json","Blake Farenthold","R","TX","27","1325","14","1.06","337",""
"","","","","F000372","https://api.propublica.org/congress/v1/members/F000372.json","Rodney Frelinghuysen","R","NJ","11","1325","14","1.06","338",""
"","","","","T000470","https://api.propublica.org/congress/v1/members/T000470.json","Scott Tipton","R","CO","3","1325","14","1.06","339",""
"","","","","H001053","https://api.propublica.org/congress/v1/members/H001053.json","Vicky Hartzler","R","MO","4","1325","14","1.06","340",""
"","","","","M001184","https://api.propublica.org/congress/v1/members/M001184.json","Thomas Massie","R","KY","4","1325","14","1.06","341",""
"","","","","V000130","https://api.propublica.org/congress/v1/members/V000130.json","Juan Vargas","D","CA","51","1325","14","1.06","342",""
"","","","","S000248","https://api.propublica.org/congress/v1/members/S000248.json","José E. Serrano","D","NY","15","1325","14","1.06","343",""
"","","","","A000373","https://api.propublica.org/congress/v1/members/A000373.json","Brad Ashford","D","NE","2","1325","14","1.06","344","Lost general election."
"","","","","T000469","https://api.propublica.org/congress/v1/members/T000469.json","Paul Tonko","D","NY","20","1320","13","0.98","345",""
"","","","","L000480","https://api.propublica.org/congress/v1/members/L000480.json","Nita M. Lowey","D","NY","17","1320","13","0.98","346",""
"","","","","G000576","https://api.propublica.org/congress/v1/members/G000576.json","Glenn Grothman","R","WI","6","1325","13","0.98","347",""
"","","","","H001047","https://api.propublica.org/congress/v1/members/H001047.json","Jim Himes","D","CT","4","1325","13","0.98","348",""
"","","","","S001154","https://api.propublica.org/congress/v1/members/S001154.json","Bill Shuster","R","PA","9","1325","13","0.98","349",""
"","","","","G000558","https://api.propublica.org/congress/v1/members/G000558.json","Brett Guthrie","R","KY","2","1325","13","0.98","350",""
"","","","","P000594","https://api.propublica.org/congress/v1/members/P000594.json","Erik Paulsen","R","MN","3","1325","13","0.98","351",""
"","","","","G000568","https://api.propublica.org/congress/v1/members/G000568.json","Morgan Griffith","R","VA","9","1325","13","0.98","352",""
"","","","","L000579","https://api.propublica.org/congress/v1/members/L000579.json","Alan Lowenthal","D","CA","47","1325","13","0.98","353",""
"","","","","B001286","https://api.propublica.org/congress/v1/members/B001286.json","Cheri Bustos","D","IL","17","1325","13","0.98","354",""
"","","","","M001190","https://api.propublica.org/congress/v1/members/M001190.json","Markwayne Mullin","R","OK","2","1325","13","0.98","355",""
"","","","","R000598","https://api.propublica.org/congress/v1/members/R000598.json","Keith Rothfus","R","PA","12","1325","13","0.98","356",""
"","","","","R000487","https://api.propublica.org/congress/v1/members/R000487.json","Edward Royce","R","CA","39","1325","13","0.98","357",""
"","","","","T000238","https://api.propublica.org/congress/v1/members/T000238.json","William M. Thornberry","R","TX","13","1325","12","0.91","358",""
"","","","","M001196","https://api.propublica.org/congress/v1/members/M001196.json","Seth Moulton","D","MA","6","1325","12","0.91","359",""
"","","","","T000475","https://api.propublica.org/congress/v1/members/T000475.json","Dave Trott","R","MI","11","1325","12","0.91","360",""
"","","","","S001195","https://api.propublica.org/congress/v1/members/S001195.json","Jason Smith","R","MO","8","1325","12","0.91","361",""
"","","","","G000564","https://api.propublica.org/congress/v1/members/G000564.json","Chris Gibson","R","NY","19","1325","12","0.91","362","Announced retirement on Jan. 6, 2015"
"","","","","B001274","https://api.propublica.org/congress/v1/members/B001274.json","Mo Brooks","R","AL","5","1325","12","0.91","363",""
"","","","","L000560","https://api.propublica.org/congress/v1/members/L000560.json","Rick Larsen","D","WA","2","1325","12","0.91","364",""
"","","","","M001151","https://api.propublica.org/congress/v1/members/M001151.json","Tim Murphy","R","PA","18","1325","12","0.91","365",""
"","","","","G000577","https://api.propublica.org/congress/v1/members/G000577.json","Garret Graves","R","LA","6","1325","11","0.83","366",""
"","","","","C001078","https://api.propublica.org/congress/v1/members/C001078.json","Gerald E. Connolly","D","VA","11","1325","11","0.83","367",""
"","","","","S001183","https://api.propublica.org/congress/v1/members/S001183.json","David Schweikert","R","AZ","6","1325","11","0.83","368",""
"","","","","G000563","https://api.propublica.org/congress/v1/members/G000563.json","Bob Gibbs","R","OH","7","1325","11","0.83","369",""
"","","","","D000598","https://api.propublica.org/congress/v1/members/D000598.json","Susan A. Davis","D","CA","53","1325","11","0.83","370",""
"","","","","B001285","https://api.propublica.org/congress/v1/members/B001285.json","Julia Brownley","D","CA","26","1325","11","0.83","371",""
"","","","","G000571","https://api.propublica.org/congress/v1/members/G000571.json","Tulsi Gabbard","D","HI","2","1325","11","0.83","372",""
"","","","","K000382","https://api.propublica.org/congress/v1/members/K000382.json","Ann McLane Kuster","D","NH","2","1325","11","0.83","373",""
"","","","","M001163","https://api.propublica.org/congress/v1/members/M001163.json","Doris Matsui","D","CA","6","1325","11","0.83","374",""
"","","","","P000605","https://api.propublica.org/congress/v1/members/P000605.json","Scott Perry","R","PA","4","1325","11","0.83","375",""
"","","","","N000182","https://api.propublica.org/congress/v1/members/N000182.json","Randy Neugebauer","R","TX","19","1325","11","0.83","376","Announced retirement on Sept. 17, 2015"
"","","","","S000185","https://api.propublica.org/congress/v1/members/S000185.json","Robert C. Scott","D","VA","3","1325","11","0.83","377",""
"","","","","S000364","https://api.propublica.org/congress/v1/members/S000364.json","John Shimkus","R","IL","15","1325","11","0.83","378",""
"","","","","B001293","https://api.propublica.org/congress/v1/members/B001293.json","Mike Bishop","R","MI","8","1325","11","0.83","379",""
"","","","","B001257","https://api.propublica.org/congress/v1/members/B001257.json","Gus Bilirakis","R","FL","12","1325","10","0.75","380",""
"","","","","F000459","https://api.propublica.org/congress/v1/members/F000459.json","Chuck Fleischmann","R","TN","3","1325","10","0.75","381",""
"","","","","R000589","https://api.propublica.org/congress/v1/members/R000589.json","Scott Rigell","R","VA","2","1325","10","0.75","382","Announced retirement on Jan. 14, 2016"
"","","","","M001180","https://api.propublica.org/congress/v1/members/M001180.json","David McKinley","R","WV","1","1325","10","0.75","383",""
"","","","","B001275","https://api.propublica.org/congress/v1/members/B001275.json","Larry Bucshon","R","IN","8","1325","10","0.75","384",""
"","","","","H001072","https://api.propublica.org/congress/v1/members/H001072.json","French Hill","R","AR","2","1325","9","0.68","385",""
"","","","","N000189","https://api.propublica.org/congress/v1/members/N000189.json","Dan Newhouse","R","WA","4","1325","9","0.68","386",""
"","","","","C001077","https://api.propublica.org/congress/v1/members/C001077.json","Mike Coffman","R","CO","6","1325","9","0.68","387",""
"","","","","W000798","https://api.propublica.org/congress/v1/members/W000798.json","Tim Walberg","R","MI","7","1325","9","0.68","388",""
"","","","","K000378","https://api.propublica.org/congress/v1/members/K000378.json","Adam Kinzinger","R","IL","16","1325","9","0.68","389",""
"","","","","D000617","https://api.propublica.org/congress/v1/members/D000617.json","Suzan K. DelBene","D","WA","1","1325","9","0.68","390",""
"","","","","E000293","https://api.propublica.org/congress/v1/members/E000293.json","Elizabeth Esty","D","CT","5","1325","9","0.68","391",""
"","","","","B001282","https://api.propublica.org/congress/v1/members/B001282.json","Andy Barr","R","KY","6","1325","9","0.68","392",""
"","","","","M000689","https://api.propublica.org/congress/v1/members/M000689.json","John L. Mica","R","FL","7","1325","9","0.68","393","Lost general election."
"","","","","H001065","https://api.propublica.org/congress/v1/members/H001065.json","George Holding","R","NC","13","1325","9","0.68","394","Elected to 2nd District seat."
"","","","","C001101","https://api.propublica.org/congress/v1/members/C001101.json","Katherine Clark","D","MA","5","1325","9","0.68","395",""
"","","","","W000791","https://api.propublica.org/congress/v1/members/W000791.json","Greg Walden","R","OR","2","1325","8","0.60","396",""
"","","","","M001159","https://api.propublica.org/congress/v1/members/M001159.json","Cathy McMorris Rodgers","R","WA","5","1325","8","0.60","397",""
"","","","","R000601","https://api.propublica.org/congress/v1/members/R000601.json","John Ratcliffe","R","TX","4","1325","8","0.60","398",""
"","","","","V000129","https://api.propublica.org/congress/v1/members/V000129.json","David Valadao","R","CA","21","1325","8","0.60","399",""
"","","","","W000814","https://api.propublica.org/congress/v1/members/W000814.json","Randy Weber","R","TX","14","1325","8","0.60","400",""
"","","","","H001064","https://api.propublica.org/congress/v1/members/H001064.json","Denny Heck","D","WA","10","1325","8","0.60","401",""
"","","","","M001181","https://api.propublica.org/congress/v1/members/M001181.json","Pat Meehan","R","PA","7","1325","8","0.60","402",""
"","","","","D000626","https://api.propublica.org/congress/v1/members/D000626.json","Warren Davidson","R","OH","8","338","2","0.59","403",""
"","","","","P000599","https://api.propublica.org/congress/v1/members/P000599.json","Bill Posey","R","FL","8","1325","7","0.53","404",""
"","","","","B001248","https://api.propublica.org/congress/v1/members/B001248.json","Michael C. Burgess","R","TX","26","1325","7","0.53","405",""
"","","","","M001156","https://api.propublica.org/congress/v1/members/M001156.json","Patrick T. McHenry","R","NC","10","1325","7","0.53","406",""
"","","","","R000597","https://api.propublica.org/congress/v1/members/R000597.json","Tom Rice","R","SC","7","1325","7","0.53","407",""
"","","","","P000611","https://api.propublica.org/congress/v1/members/P000611.json","Bruce Poliquin","R","ME","2","1325","6","0.45","408",""
"","","","","M001177","https://api.propublica.org/congress/v1/members/M001177.json","Tom McClintock","R","CA","4","1325","6","0.45","409",""
"","","","","F000454","https://api.propublica.org/congress/v1/members/F000454.json","Bill Foster","D","IL","11","1325","6","0.45","410",""
"","","","","P000609","https://api.propublica.org/congress/v1/members/P000609.json","Gary Palmer","R","AL","6","1325","5","0.38","411",""
"","","","","Z000017","https://api.propublica.org/congress/v1/members/Z000017.json","Lee Zeldin","R","NY","1","1325","5","0.38","412",""
"","","","","W000821","https://api.propublica.org/congress/v1/members/W000821.json","Bruce Westerman","R","AR","4","1325","5","0.38","413",""
"","","","","K000376","https://api.propublica.org/congress/v1/members/K000376.json","Mike Kelly","R","PA","3","1325","5","0.38","414",""
"","","","","T000472","https://api.propublica.org/congress/v1/members/T000472.json","Mark Takano","D","CA","41","1325","5","0.38","415",""
"","","","","B001271","https://api.propublica.org/congress/v1/members/B001271.json","Dan Benishek","R","MI","1","1325","4","0.30","416","Announced retirement on Sept. 17, 2015"
"","","","","J000292","https://api.propublica.org/congress/v1/members/J000292.json","Bill Johnson","R","OH","6","1325","4","0.30","417",""
"","","","","L000491","https://api.propublica.org/congress/v1/members/L000491.json","Frank D. Lucas","R","OK","3","1325","4","0.30","418",""
"","","","","N000181","https://api.propublica.org/congress/v1/members/N000181.json","Devin Nunes","R","CA","22","1325","4","0.30","419",""
"","","","","H001073","https://api.propublica.org/congress/v1/members/H001073.json","Will Hurd","R","TX","23","1325","3","0.23","420",""
"","","","","T000467","https://api.propublica.org/congress/v1/members/T000467.json","Glenn Thompson","R","PA","5","1325","3","0.23","421",""
"","","","","K000381","https://api.propublica.org/congress/v1/members/K000381.json","Derek Kilmer","D","WA","6","1325","3","0.23","422",""
"","","","","R000603","https://api.propublica.org/congress/v1/members/R000603.json","David Rouzer","R","NC","7","1325","2","0.15","423",""
"","","","","S001196","https://api.propublica.org/congress/v1/members/S001196.json","Elise Stefanik","R","NY","21","1325","2","0.15","424",""
"","","","","G000575","https://api.propublica.org/congress/v1/members/G000575.json","Gwen Graham","D","FL","2","1325","2","0.15","425","Announced retirement on April 21, 2016."
"","","","","D000604","https://api.propublica.org/congress/v1/members/D000604.json","Charlie Dent","R","PA","15","1325","2","0.15","426",""
"","","","","A000374","https://api.propublica.org/congress/v1/members/A000374.json","Ralph Abraham","R","LA","5","1325","2","0.15","427",""
"","","","","L000585","https://api.propublica.org/congress/v1/members/L000585.json","Darin M. LaHood","R","IL","18","829","1","0.12","428",""
"","","","","C000266","https://api.propublica.org/congress/v1/members/C000266.json","Steven J. Chabot","R","OH","1","1325","1","0.08","429",""
"","","","","U000031","https://api.propublica.org/congress/v1/members/U000031.json","Fred Upton","R","MI","6","1325","0","0.00","430",""
"","","","","M001197","https://api.propublica.org/congress/v1/members/M001197.json","Martha McSally","R","AZ","2","1325","0","0.00","431",""
"","","","","L000567","https://api.propublica.org/congress/v1/members/L000567.json","Leonard Lance","R","NJ","7","1325","0","0.00","432",""
"","","","","Y000066","https://api.propublica.org/congress/v1/members/Y000066.json","David Young","R","IA","3","1325","0","0.00","433",""
