id,api_uri,name,party,state,district,total_votes,votes_with_party,party_votes_pct,rank,notes
R000409,https://api.propublica.org/congress/v1/members/R000409.json,Dana Rohrabacher,R,CA,48,1325,1123,90.49,53,
H001055,https://api.propublica.org/congress/v1/members/H001055.json,Joe Heck,R,NV,3,1325,1143,90.57,54,Running for Senate
K000210,https://api.propublica.org/congress/v1/members/K000210.json,Peter T. King,R,NY,2,1325,1185,90.6,55,
L000567,https://api.propublica.org/congress/v1/members/L000567.json,Leonard Lance,R,NJ,7,1325,1202,90.72,56,
J000295,https://api.propublica.org/congress/v1/members/J000295.json,Dave Joyce,R,OH,14,1325,1165,90.73,57,
G000565,https://api.propublica.org/congress/v1/members/G000565.json,Paul Gosar,R,AZ,4,1325,1155,90.87,58,
B001248,https://api.propublica.org/congress/v1/members/B001248.json,Michael C. Burgess,R,TX,26,1325,1198,90.9,59,
T000463,https://api.propublica.org/congress/v1/members/T000463.json,Michael R. Turner,R,OH,10,1325,1144,90.94,60,
S000244,https://api.propublica.org/congress/v1/members/S000244.json,F. James Sensenbrenner,R,WI,5,1325,1205,90.94,61,
R000585,https://api.propublica.org/congress/v1/members/R000585.json,Tom Reed,R,NY,23,1325,1187,90.96,62,
Y000065,https://api.propublica.org/congress/v1/members/Y000065.json,Ted Yoho,R,FL,3,1325,1188,90.96,63,
D000600,https://api.propublica.org/congress/v1/members/D000600.json,Mario Diaz-Balart,R,FL,25,1325,1178,90.97,64,
B001287,https://api.propublica.org/congress/v1/members/B001287.json,Ami Bera,D,CA,7,1325,1189,90.97,65,
M001191,https://api.propublica.org/congress/v1/members/M001191.json,Patrick Murphy,D,FL,18,1325,1164,91.01,66,Running for Senate
C001102,https://api.propublica.org/congress/v1/members/C001102.json,Curt Clawson,R,FL,19,1325,1103,91.08,67,"Announced retirement on May 19, 2016."
Y000033,https://api.propublica.org/congress/v1/members/Y000033.json,Don Young,R,AK,1,1311,1124,91.09,68,
S001185,https://api.propublica.org/congress/v1/members/S001185.json,Terri Sewell,D,AL,7,1325,1128,91.11,69,
P000605,https://api.propublica.org/congress/v1/members/P000605.json,Scott Perry,R,PA,4,1325,1198,91.17,70,
J000289,https://api.propublica.org/congress/v1/members/J000289.json,Jim Jordan,R,OH,4,1325,1191,91.19,71,
D000191,https://api.propublica.org/congress/v1/members/D000191.json,Peter A. DeFazio,D,OR,4,1325,1111,91.22,72,
K000188,https://api.propublica.org/congress/v1/members/K000188.json,Ron Kind,D,WI,3,1325,1144,91.3,73,
R000576,https://api.propublica.org/congress/v1/members/R000576.json,C.A. Dutch Ruppersberger,D,MD,2,1325,1157,91.39,74,
D000620,https://api.propublica.org/congress/v1/members/D000620.json,John Delaney,D,MD,6,1325,1146,91.46,75,
M001180,https://api.propublica.org/congress/v1/members/M001180.json,David McKinley,R,WV,1,1325,1203,91.48,76,
R000589,https://api.propublica.org/congress/v1/members/R000589.json,Scott Rigell,R,VA,2,1325,1204,91.56,77,"Announced retirement on Jan. 14, 2016"
V000129,https://api.propublica.org/congress/v1/members/V000129.json,David Valadao,R,CA,21,1325,1206,91.57,78,
W000799,https://api.propublica.org/congress/v1/members/W000799.json,Tim Walz,D,MN,1,1325,1201,91.61,79,
P000598,https://api.propublica.org/congress/v1/members/P000598.json,Jared Polis,D,CO,2,1325,1196,91.65,80,
F000449,https://api.propublica.org/congress/v1/members/F000449.json,Jeff Fortenberry,R,NE,1,1325,1197,91.65,81,
G000548,https://api.propublica.org/congress/v1/members/G000548.json,Scott Garrett,R,NJ,5,1325,1188,91.67,82,Lost general election.
M001197,https://api.propublica.org/congress/v1/members/M001197.json,Martha McSally,R,AZ,2,1325,1217,91.85,83,
B001295,https://api.propublica.org/congress/v1/members/B001295.json,Mike Bost,R,IL,12,1325,1162,91.86,84,
M001177,https://api.propublica.org/congress/v1/members/M001177.json,Tom McClintock,R,CA,4,1325,1212,91.89,85,
L000571,https://api.propublica.org/congress/v1/members/L000571.json,Cynthia M. Lummis,R,WY,1,1325,1190,91.89,86,"Announced retirement on Nov. 12, 2015"
Z000017,https://api.propublica.org/congress/v1/members/Z000017.json,Lee Zeldin,R,NY,1,1325,1213,91.89,87,
B001294,https://api.propublica.org/congress/v1/members/B001294.json,Rod Blum,R,IA,1,1325,1203,91.97,88,
B001260,https://api.propublica.org/congress/v1/members/B001260.json,Vern Buchanan,R,FL,16,1325,1146,91.97,89,
T000467,https://api.propublica.org/congress/v1/members/T000467.json,Glenn Thompson,R,PA,5,1325,1216,91.98,90,
U000031,https://api.propublica.org/congress/v1/members/U000031.json,Fred Upton,R,MI,6,1325,1219,92,91,
B001271,https://api.propublica.org/congress/v1/members/B001271.json,Dan Benishek,R,MI,1,1325,1217,92.13,92,"Announced retirement on Sept. 17, 2015"
R000587,https://api.propublica.org/congress/v1/members/R000587.json,Reid Ribble,R,WI,8,1325,1184,92.28,93,"Announced retirement on Jan. 31, 2016"
B001285,https://api.propublica.org/congress/v1/members/B001285.json,Julia Brownley,D,CA,26,1325,1213,92.31,94,
B001290,https://api.propublica.org/congress/v1/members/B001290.json,David A. Brat,R,VA,7,1325,1181,92.34,95,
J000297,https://api.propublica.org/congress/v1/members/J000297.json,Evan Jenkins,R,WV,3,1325,1208,92.43,96,
P000592,https://api.propublica.org/congress/v1/members/P000592.json,Ted Poe,R,TX,2,1325,1025,92.43,97,
B001286,https://api.propublica.org/congress/v1/members/B001286.json,Cheri Bustos,D,IL,17,1325,1213,92.45,98,
W000413,https://api.propublica.org/congress/v1/members/W000413.json,Edward Whitfield,R,KY,1,1181,1000,92.51,99,"Announced resignation effective Sept. 6, 2016."
R000599,https://api.propublica.org/congress/v1/members/R000599.json,Raul Ruiz,D,CA,36,1325,1175,92.52,100,
P000599,https://api.propublica.org/congress/v1/members/P000599.json,Bill Posey,R,FL,8,1325,1220,92.56,101,
R000597,https://api.propublica.org/congress/v1/members/R000597.json,Tom Rice,R,SC,7,1325,1220,92.56,102,
R000586,https://api.propublica.org/congress/v1/members/R000586.json,Jim Renacci,R,OH,16,1325,1213,92.6,103,
R000602,https://api.propublica.org/congress/v1/members/R000602.json,Kathleen Rice,D,NY,4,1325,1170,92.64,104,
S001187,https://api.propublica.org/congress/v1/members/S001187.json,Steve Stivers,R,OH,15,1325,1168,92.7,105,
C001077,https://api.propublica.org/congress/v1/members/C001077.json,Mike Coffman,R,CO,6,1325,1220,92.71,106,
S001157,https://api.propublica.org/congress/v1/members/S001157.json,David Scott,D,GA,13,1325,1161,92.73,107,
N000185,https://api.propublica.org/congress/v1/members/N000185.json,Richard Nugent,R,FL,11,1325,1062,92.75,108,"Announced retirement on Nov. 2, 2015"
P000594,https://api.propublica.org/congress/v1/members/P000594.json,Erik Paulsen,R,MN,3,1325,1217,92.76,109,
N000127,https://api.propublica.org/congress/v1/members/N000127.json,Rick Nolan,D,MN,8,1317,1166,92.76,110,
S001148,https://api.propublica.org/congress/v1/members/S001148.json,Mike Simpson,R,ID,2,1325,1196,92.86,111,
W000814,https://api.propublica.org/congress/v1/members/W000814.json,Randy Weber,R,TX,14,1325,1223,92.86,112,
H001052,https://api.propublica.org/congress/v1/members/H001052.json,Andy Harris,R,MD,1,1325,1216,92.9,113,
F000372,https://api.propublica.org/congress/v1/members/F000372.json,Rodney Frelinghuysen,R,NJ,11,1325,1218,92.91,114,
S001183,https://api.propublica.org/congress/v1/members/S001183.json,David Schweikert,R,AZ,6,1325,1222,93,115,
F000456,https://api.propublica.org/congress/v1/members/F000456.json,John Fleming,R,LA,4,1325,1216,93.04,116,Running for Senate
W000796,https://api.propublica.org/congress/v1/members/W000796.json,Lynn Westmoreland,R,GA,3,1325,1017,93.05,117,"Announced retirement on Jan. 7, 2016"
B001269,https://api.propublica.org/congress/v1/members/B001269.json,Lou Barletta,R,PA,11,1325,1154,93.06,118,
D000615,https://api.propublica.org/congress/v1/members/D000615.json,Jeffrey Duncan,R,SC,3,1325,1190,93.11,119,
V000131,https://api.propublica.org/congress/v1/members/V000131.json,Marc Veasey,D,TX,33,1325,1214,93.24,120,
C001105,https://api.propublica.org/congress/v1/members/C001105.json,Barbara Comstock,R,VA,10,1325,1218,93.33,121,
H001071,https://api.propublica.org/congress/v1/members/H001071.json,Jody Hice,R,GA,10,1325,1220,93.34,122,
E000294,https://api.propublica.org/congress/v1/members/E000294.json,Tom Emmer,R,MN,6,1325,1222,93.35,123,
G000576,https://api.propublica.org/congress/v1/members/G000576.json,Glenn Grothman,R,WI,6,1325,1225,93.37,124,
D000616,https://api.propublica.org/congress/v1/members/D000616.json,Scott DesJarlais,R,TN,4,1325,1173,93.39,125,
M001195,https://api.propublica.org/congress/v1/members/M001195.json,Alex Mooney,R,WV,2,1325,1217,93.4,126,
D000626,https://api.propublica.org/congress/v1/members/D000626.json,Warren Davidson,R,OH,8,338,314,93.45,127,
T000462,https://api.propublica.org/congress/v1/members/T000462.json,Pat Tiberi,R,OH,12,1325,1174,93.47,128,
S000018,https://api.propublica.org/congress/v1/members/S000018.json,Matt Salmon,R,AZ,5,1325,1204,93.48,129,"Announced retirement on Feb. 25, 2016."
W000810,https://api.propublica.org/congress/v1/members/W000810.json,Rob Woodall,R,GA,7,1325,1222,93.5,130,
R000575,https://api.propublica.org/congress/v1/members/R000575.json,Mike D. Rogers,R,AL,3,1325,1208,93.57,131,
C000059,https://api.propublica.org/congress/v1/members/C000059.json,Ken Calvert,R,CA,42,1325,1224,93.58,132,
F000460,https://api.propublica.org/congress/v1/members/F000460.json,Blake Farenthold,R,TX,27,1325,1227,93.59,133,
G000571,https://api.propublica.org/congress/v1/members/G000571.json,Tulsi Gabbard,D,HI,2,1325,1230,93.61,134,
C001053,https://api.propublica.org/congress/v1/members/C001053.json,Tom Cole,R,OK,4,1325,1222,93.64,135,
F000450,https://api.propublica.org/congress/v1/members/F000450.json,Virginia Foxx,R,NC,5,1325,1212,93.66,136,
L000562,https://api.propublica.org/congress/v1/members/L000562.json,Stephen F. Lynch,D,MA,8,1325,1217,93.69,137,
W000791,https://api.propublica.org/congress/v1/members/W000791.json,Greg Walden,R,OR,2,1325,1234,93.7,138,
R000583,https://api.propublica.org/congress/v1/members/R000583.json,Tom Rooney,R,FL,17,1325,1176,93.71,139,
S001165,https://api.propublica.org/congress/v1/members/S001165.json,Albio Sires,D,NJ,8,1325,1163,93.71,140,
D000622,https://api.propublica.org/congress/v1/members/D000622.json,Tammy Duckworth,D,IL,8,1325,1090,93.72,141,Elected to Senate.
N000188,https://api.propublica.org/congress/v1/members/N000188.json,Donald W. Norcross,D,NJ,1,1325,1216,93.75,142,
B001275,https://api.propublica.org/congress/v1/members/B001275.json,Larry Bucshon,R,IN,8,1325,1233,93.76,143,
Z000018,https://api.propublica.org/congress/v1/members/Z000018.json,Ryan Zinke,R,MT,1,1325,1209,93.79,144,
R000601,https://api.propublica.org/congress/v1/members/R000601.json,John Ratcliffe,R,TX,4,1325,1236,93.85,145,
P000588,https://api.propublica.org/congress/v1/members/P000588.json,Steve Pearce,R,NM,2,1325,1176,93.85,146,
E000291,https://api.propublica.org/congress/v1/members/E000291.json,Renee Ellmers,R,NC,2,1325,1120,93.88,147,Lost primary election.
R000592,https://api.propublica.org/congress/v1/members/R000592.json,Todd Rokita,R,IN,4,1325,1214,93.89,148,
